"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"C","DeMarcus Cousins",10600,"Mem@Sac 06:00PM ET",47.517
"SF","Carmelo Anthony",9400,"Mia@NY 07:30PM ET",36.583
"SG","Kobe Bryant",9200,"Tor@LAL 09:30PM ET",41.453
"PF","LaMarcus Aldridge",9100,"Min@Por 09:00PM ET",40.100
"PG","Damian Lillard",8900,"Min@Por 09:00PM ET",39.781
"C","Nikola Vucevic",8800,"Orl@Pho 08:00PM ET",40.125
"C","Marc Gasol",8700,"Mem@Sac 06:00PM ET",40.141
"C","Chris Bosh",8400,"Mia@NY 07:30PM ET",39.867
"PG","Kyle Lowry",8400,"Tor@LAL 09:30PM ET",37.766
"PF","Zach Randolph",7900,"Mem@Sac 06:00PM ET",34.891
"SG","Eric Bledsoe",7700,"Orl@Pho 08:00PM ET",32.221
"SF","Rudy Gay",7500,"Mem@Sac 06:00PM ET",37.875
"PG","Mike Conley",7500,"Mem@Sac 06:00PM ET",32.641
"PG","Ricky Rubio",7400,"Min@Por 09:00PM ET",32.700
"SG","Dwyane Wade",7100,"Mia@NY 07:30PM ET",36.688
"SG","DeMar DeRozan",7100,"Tor@LAL 09:30PM ET",30.766
"SF","Tobias Harris",7000,"Orl@Pho 08:00PM ET",34.516
"PF","Thaddeus Young",6900,"Min@Por 09:00PM ET",25.444
"PG","Darren Collison",6700,"Mem@Sac 06:00PM ET",33.596
"PF","Markieff Morris",6700,"Orl@Pho 08:00PM ET",30.544
"C","Gorgui Dieng",6700,"Min@Por 09:00PM ET",23.929
"PG","Mario Chalmers",6600,"Mia@NY 07:30PM ET",28.200
"C","Jordan Hill",6600,"Tor@LAL 09:30PM ET",30.469
"PG","Goran Dragic",6600,"Orl@Pho 08:00PM ET",23.824
"PF","Channing Frye",6500,"Orl@Pho 08:00PM ET",20.838
"SF","Nicolas Batum",6400,"Min@Por 09:00PM ET",27.125
"SG","Victor Oladipo",6400,"Orl@Pho 08:00PM ET",26.278
"SG","J.R. Smith",6100,"Mia@NY 07:30PM ET",19.750
"SG","Wesley Matthews",6000,"Min@Por 09:00PM ET",28.469
"PF","Carlos Boozer",5900,"Tor@LAL 09:30PM ET",23.750
"C","Jonas Valanciunas",5900,"Tor@LAL 09:30PM ET",25.583
"C","Robin Lopez",5700,"Min@Por 09:00PM ET",25.953
"PG","Isaiah Thomas",5600,"Orl@Pho 08:00PM ET",26.167
"SF","Luol Deng",5500,"Mia@NY 07:30PM ET",25.786
"SF","Andrew Wiggins",5400,"Min@Por 09:00PM ET",21.018
"PF","Amar'e Stoudemire",5300,"Mia@NY 07:30PM ET",24.547
"SF","Corey Brewer",5300,"Min@Por 09:00PM ET",22.464
"PG","Jeremy Lin",5300,"Tor@LAL 09:30PM ET",26.219
"PG","Jose Calderon",5200,"Mia@NY 07:30PM ET",20.438
"C","Nikola Pekovic",5200,"Min@Por 09:00PM ET",24.806
"SG","Iman Shumpert",5200,"Mia@NY 07:30PM ET",23.125
"SG","Evan Fournier",5200,"Orl@Pho 08:00PM ET",23.250
"SG","Kevin Martin",5000,"Min@Por 09:00PM ET",29.694
"PG","Lou Williams",5000,"Tor@LAL 09:30PM ET",20.891
"SF","Omri Casspi",5000,"Mem@Sac 06:00PM ET",15.531
"PF","Amir Johnson",4900,"Tor@LAL 09:30PM ET",21.500
"PG","Mo Williams",4800,"Min@Por 09:00PM ET",22.808
"PF","Andrea Bargnani",4800,"Mia@NY 07:30PM ET",0
"PG","Elfrid Payton",4800,"Orl@Pho 08:00PM ET",19.583
"C","Chris Kaman",4700,"Min@Por 09:00PM ET",23.156
"SF","P.J. Tucker",4700,"Orl@Pho 08:00PM ET",20.346
"PG","Ramon Sessions",4700,"Mem@Sac 06:00PM ET",11.417
"SG","Gerald Green",4700,"Orl@Pho 08:00PM ET",21.809
"C","Miles Plumlee",4600,"Orl@Pho 08:00PM ET",16.426
"PF","Marcus Morris",4600,"Orl@Pho 08:00PM ET",18.426
"PF","Jason Thompson",4500,"Mem@Sac 06:00PM ET",15.172
"SF","Terrence Ross",4500,"Tor@LAL 09:30PM ET",18.234
"PG","Shabazz Napier",4500,"Mia@NY 07:30PM ET",15.783
"PF","Anthony Bennett",4500,"Min@Por 09:00PM ET",16.288
"SF","Tony Allen",4400,"Mem@Sac 06:00PM ET",19.857
"PG","Norris Cole",4400,"Mia@NY 07:30PM ET",17.135
"SF","Shabazz Muhammad",4400,"Min@Por 09:00PM ET",12.625
"C","Samuel Dalembert",4300,"Mia@NY 07:30PM ET",15.676
"SG","Nick Young",4300,"Tor@LAL 09:30PM ET",19.000
"SG","Courtney Lee",4300,"Mem@Sac 06:00PM ET",23.808
"SG","Ben McLemore",4300,"Mem@Sac 06:00PM ET",18.453
"PG","Zach LaVine",4200,"Min@Por 09:00PM ET",15.682
"PF","Aaron Gordon",4200,"Orl@Pho 08:00PM ET",11.841
"SF","Wesley Johnson",4100,"Tor@LAL 09:30PM ET",17.859
"PF","Patrick Patterson",4100,"Tor@LAL 09:30PM ET",18.906
"PF","Ed Davis",4100,"Tor@LAL 09:30PM ET",21.203
"SF","Derrick Williams",4000,"Mem@Sac 06:00PM ET",6.958
"PG","Pablo Prigioni",4000,"Mia@NY 07:30PM ET",13.967
"SF","Maurice Harkless",3900,"Orl@Pho 08:00PM ET",10.438
"PF","Carl Landry",3800,"Mem@Sac 06:00PM ET",15.984
"SG","Vince Carter",3700,"Mem@Sac 06:00PM ET",11.683
"SG","Tim Hardaway Jr.",3600,"Mia@NY 07:30PM ET",12.632
"PG","Greivis Vasquez",3500,"Tor@LAL 09:30PM ET",17.000
"PG","Shane Larkin",3500,"Mia@NY 07:30PM ET",14.203
"PG","Steve Nash",3300,"Tor@LAL 09:30PM ET",0
"PF","Chuck Hayes",3300,"Tor@LAL 09:30PM ET",6.825
"SF","Tayshaun Prince",3300,"Mem@Sac 06:00PM ET",11.667
"PF","Shavlik Randolph",3100,"Orl@Pho 08:00PM ET",3.611
"C","Jason Smith",3100,"Mia@NY 07:30PM ET",11.544
"PG","Steve Blake",3000,"Min@Por 09:00PM ET",14.953
"SG","Willie Green",3000,"Orl@Pho 08:00PM ET",7.411
"PG","Luke Ridnour",3000,"Orl@Pho 08:00PM ET",11.550
"SG","Ben Gordon",3000,"Orl@Pho 08:00PM ET",10.400
"SF","Danny Granger",3000,"Mia@NY 07:30PM ET",6.000
"C","Chris Andersen",3000,"Mia@NY 07:30PM ET",8.278
"PG","Ronnie Price",3000,"Tor@LAL 09:30PM ET",14.283
"PF","Ronny Turiaf",3000,"Min@Por 09:00PM ET",2.125
"PF","Reggie Evans",3000,"Mem@Sac 06:00PM ET",12.056
"C","Ryan Hollins",3000,"Mem@Sac 06:00PM ET",5.107
"PF","Udonis Haslem",3000,"Mia@NY 07:30PM ET",10.844
"PF","Anthony Tolliver",3000,"Orl@Pho 08:00PM ET",6.750
"SF","Dorell Wright",3000,"Min@Por 09:00PM ET",5.964
"PG","Beno Udrih",3000,"Mem@Sac 06:00PM ET",13.950
"C","Greg Stiemsma",3000,"Tor@LAL 09:30PM ET",5.350
"SF","Shawne Williams",3000,"Mia@NY 07:30PM ET",22.150
"PF","Tyler Hansbrough",3000,"Tor@LAL 09:30PM ET",9.818
"PF","Josh McRoberts",3000,"Mia@NY 07:30PM ET",7.182
"C","Joel Freeland",3000,"Min@Por 09:00PM ET",7.000
"SG","Wayne Ellington",3000,"Tor@LAL 09:30PM ET",12.556
"SF","Chase Budinger",3000,"Min@Por 09:00PM ET",8.021
"SG","Quincy Pondexter",3000,"Mem@Sac 06:00PM ET",10.357
"SG","Landry Fields",3000,"Tor@LAL 09:30PM ET",2.800
"SF","James Johnson",3000,"Tor@LAL 09:30PM ET",17.038
"C","Kosta Koufos",3000,"Mem@Sac 06:00PM ET",12.067
"PF","Jon Leuer",3000,"Mem@Sac 06:00PM ET",10.617
"SF","Robbie Hummel",3000,"Min@Por 09:00PM ET",7.886
"C","Cole Aldrich",3000,"Mia@NY 07:30PM ET",8.727
"PG","Nick Calathes",3000,"Mem@Sac 06:00PM ET",1.250
"C","Robert Sacre",3000,"Tor@LAL 09:30PM ET",8.983
"C","Justin Hamilton",3000,"Mia@NY 07:30PM ET",8.375
"PF","Andrew Nicholson",3000,"Orl@Pho 08:00PM ET",4.722
"PF","Quincy Acy",3000,"Mia@NY 07:30PM ET",14.714
"C","Kyle O'Quinn",3000,"Orl@Pho 08:00PM ET",18.417
"PF","Travis Wear",3000,"Mia@NY 07:30PM ET",6.196
"SG","Victor Claver",3000,"Min@Por 09:00PM ET",0
"PF","Ryan Kelly",3000,"Tor@LAL 09:30PM ET",7.083
"PF","Thomas Robinson",3000,"Min@Por 09:00PM ET",6.594
"SG","Xavier Henry",3000,"Tor@LAL 09:30PM ET",3.778
"C","Hassan Whiteside",3000,"Mia@NY 07:30PM ET",0
"SG","Andre Dawkins",3000,"Mia@NY 07:30PM ET",1.417
"PG","C.J. McCollum",3000,"Min@Por 09:00PM ET",9.227
"SG","Allen Crabbe",3000,"Min@Por 09:00PM ET",8.023
"C","Meyers Leonard",3000,"Min@Por 09:00PM ET",8.625
"SG","Will Barton",3000,"Min@Por 09:00PM ET",5.771
"PG","Jordan Clarkson",3000,"Tor@LAL 09:30PM ET",9.150
"PF","Eric Moreland",3000,"Mem@Sac 06:00PM ET",0.000
"SG","Roy Devyn Marble",3000,"Orl@Pho 08:00PM ET",1.313
"SG","Zoran Dragic",3000,"Orl@Pho 08:00PM ET",0.000
"PG","Ray McCallum",3000,"Mem@Sac 06:00PM ET",5.350
"SG","James Ennis",3000,"Mia@NY 07:30PM ET",9.517
"C","Dewayne Dedmon",3000,"Orl@Pho 08:00PM ET",8.455
"C","Alex Len",3000,"Orl@Pho 08:00PM ET",15.132
"PF","Jarnell Stokes",3000,"Mem@Sac 06:00PM ET",3.550
"C","Lucas Nogueira",3000,"Tor@LAL 09:30PM ET",9.250
"SF","T.J. Warren",3000,"Orl@Pho 08:00PM ET",6.125
"SG","Jordan Adams",3000,"Mem@Sac 06:00PM ET",6.188
"SF","Glenn Robinson III",3000,"Min@Por 09:00PM ET",2.050
"SG","Nik Stauskas",3000,"Mem@Sac 06:00PM ET",6.547
"SG","Archie Goodwin",3000,"Orl@Pho 08:00PM ET",5.813
"SF","Cleanthony Early",3000,"Mia@NY 07:30PM ET",5.536
"PG","Tyler Ennis",3000,"Orl@Pho 08:00PM ET",7.083
"PF","Julius Randle",3000,"Tor@LAL 09:30PM ET",1.500
"SF","Bruno Caboclo",3000,"Tor@LAL 09:30PM ET",11.750
